date,product,region,store_type,store_id,units_sold,unit_price,revenue,promotion
2022-07-15,Posit Classic,Latin America,Gas Station,7334,98,0.956451280405632,93.732225479752,Holiday Special
2021-11-17,Posit Classic,Europe,Supermarket,2754,140,2.01384798707474,281.938718190463,BOGO
2022-09-26,Workbench Energy,Europe,Supermarket,6525,26,4.07347042957743,105.910231169013,None
2021-02-18,Posit Lite,Asia Pacific,Gas Station,4325,22,1.45388971282789,31.9855736822135,None
2021-01-24,Posit Lite,North America,Gas Station,3569,49,1.38950902367181,68.0859421599185,BOGO
2021-12-22,Posit Lite,North America,Convenience Store,4394,56,1.77486970106156,99.3927032594474,None
2021-06-14,Posit Classic,Asia Pacific,Restaurant,805,109,1.61807349313552,176.37001075177201,Holiday Special
2022-09-14,Quarto Fizz,Asia Pacific,Gas Station,7808,44,1.56855114681126,69.0162504596956,BOGO
2022-02-14,Posit Classic,Africa,Supermarket,2976,69,1.1097320369188,76.5715105473971,Summer Sale
2023-06-18,Posit Classic,North America,Vending Machine,2172,83,2.89041190853663,239.90418840854,Summer Sale
2022-08-24,Connect Orange,Latin America,Supermarket,4883,118,1.40030072091238,165.235485067661,None
2023-07-21,Connect Orange,Asia Pacific,Restaurant,2105,45,2.08359175277246,93.7616288747607,None
2023-09-24,Posit Classic,Europe,Supermarket,2069,122,2.08254594716544,254.070605554184,None
2022-09-13,Connect Orange,Europe,Restaurant,15,70,2.40418287955219,168.292801568653,None
2023-05-10,Posit Lite,Asia Pacific,Supermarket,2531,61,1.29379336347822,78.9213951721713,None
2021-09-16,Posit Classic,Europe,Gas Station,3738,81,1.57174291778908,127.311176340916,None
2022-04-26,Posit Zero,North America,Convenience Store,6403,48,1.64301880605604,78.8649026906899,BOGO
2021-01-24,Connect Orange,Europe,Restaurant,7342,26,2.71938202786785,70.703932724564,None
2021-10-26,Posit Lite,North America,Supermarket,2288,64,1.39923499186075,89.5510394790881,None
2022-02-10,Cloud Water,North America,Convenience Store,4460,31,1.06121446396543,32.8976483829283,None
2021-11-10,Cloud Water,Asia Pacific,Restaurant,5235,62,1.29618235223,80.36330583826,BOGO
2023-04-16,Quarto Fizz,Asia Pacific,Supermarket,2157,95,1.60324009612872,152.307809132229,Holiday Special
2023-09-09,Posit Classic,North America,Supermarket,3635,191,2.15026702619483,410.701002003212,None
2021-05-26,Posit Classic,Africa,Gas Station,4110,30,1.44937808458976,43.4813425376927,None
2021-07-16,Posit Lite,Latin America,Restaurant,5654,46,2.10810948854065,96.9730364728698,None
2021-08-14,Posit Zero,Asia Pacific,Restaurant,3701,56,1.6280038560435,91.1682159384358,None
2022-05-19,Posit Classic,Europe,Convenience Store,2016,105,1.6571534833197,174.001115748569,BOGO
2023-09-11,Quarto Fizz,Europe,Gas Station,4136,50,1.35537197655243,67.7685988276215,BOGO
2022-12-28,Posit Classic,Europe,Vending Machine,4745,44,2.76273301431123,121.560252629694,Summer Sale
2023-08-03,Connect Orange,Asia Pacific,Restaurant,1634,80,1.42365462688345,113.892370150676,Summer Sale
2023-07-11,Posit Lite,North America,Gas Station,1682,85,1.69854423434953,144.37625991971,None
2022-09-18,Posit Classic,Europe,Supermarket,5193,219,1.84323804030732,403.669130827303,BOGO
2021-09-19,Posit Lite,North America,Vending Machine,861,17,3.03412356708395,51.5801006404272,None
2022-01-25,Posit Zero,North America,Vending Machine,5744,26,1.91022310824273,49.665800814311,New Product Launch
2021-05-10,Posit Classic,Latin America,Convenience Store,1093,56,1.16871391510924,65.4479792461175,None
2023-10-24,Posit Zero,Asia Pacific,Gas Station,3665,30,1.25419835018953,37.6259505056859,None
2022-01-09,Posit Lite,Asia Pacific,Vending Machine,5669,30,1.96597578048386,58.9792734145158,Summer Sale
2023-02-09,Posit Classic,North America,Vending Machine,5134,40,2.87878683080702,115.151473232281,None
2023-10-12,Workbench Energy,Europe,Convenience Store,2374,23,3.96777334133442,91.2587868506917,None
2022-11-29,Posit Lite,Europe,Vending Machine,6208,29,2.81617268519293,81.6690078705949,New Product Launch
2022-10-12,Posit Lite,Latin America,Vending Machine,2722,14,1.71799497412194,24.0519296377071,BOGO
2021-02-09,Posit Lite,North America,Gas Station,2801,38,2.13282773871325,81.0474540711035,NA
2022-06-01,Posit Lite,Asia Pacific,Vending Machine,5188,18,1.47126518959541,26.4827734127174,BOGO
2021-02-02,Posit Classic,Asia Pacific,Vending Machine,413,31,2.788337115868,86.438450591908,None
2023-08-03,Posit Classic,Asia Pacific,Vending Machine,6892,44,2.2560653821121,99.2668768129325,None
2021-04-13,Cloud Water,Asia Pacific,Vending Machine,3422,25,1.09424037670677,27.3560094176693,None
2021-04-19,Posit Classic,Latin America,Vending Machine,6602,35,2.71169806683347,94.9094323391714,None
2023-09-29,Quarto Fizz,North America,Restaurant,5645,101,2.53599995916848,256.135995876017,None
2021-03-17,Posit Classic,North America,Supermarket,4520,160,1.78369045344085,285.390472550536,None
2023-09-07,Posit Lite,Asia Pacific,Vending Machine,1991,14,2.17598677724362,30.4638148814106,None
2023-01-03,Posit Classic,Asia Pacific,Vending Machine,2167,16,1.95437127220211,31.2699403552338,Holiday Special
2021-01-16,Posit Classic,Africa,Gas Station,26,33,1.10295442569098,36.3974960478022,None
2023-10-03,Posit Classic,Europe,Vending Machine,7053,40,2.44677219851103,97.8708879404412,None
2023-09-15,Posit Classic,Asia Pacific,Vending Machine,3812,42,2.36865510649803,99.4835144729172,None
2021-03-23,Posit Lite,North America,Gas Station,7694,51,1.79810903120305,91.7035605913558,Summer Sale
2023-07-03,Posit Zero,Latin America,Restaurant,244,62,2.31405561918383,143.471448389398,Summer Sale
